video_id,title,url,upload_date,view_count,duration,description
xGZUHMXt9Fc,Instantly Improve Your Options Trading with Military Strategies,https://www.youtube.com/watch?v=xGZUHMXt9Fc,,409.0,1150.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
rSsEepQGiK0,"Stock Market Impact: Tesla (TSLA), Luminar (LAZR), LiDAR Tech & Mark Rober’s",https://www.youtube.com/watch?v=rSsEepQGiK0,,616.0,646.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
SMZTy4X81UI,Rolling Short Puts in Leveraged ETFs During a Market Correction – What You Need to Know,https://www.youtube.com/watch?v=SMZTy4X81UI,,615.0,612.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
Trvn5shhS8c,GameStop: Making Money While the Stock Declines,https://www.youtube.com/watch?v=Trvn5shhS8c,,664.0,597.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
vhOs3vd1BfA,The Problem with Trading the Wheel for Income,https://www.youtube.com/watch?v=vhOs3vd1BfA,,1462.0,1174.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
5aId1F_kr24,thinkorswim Volume Profile Setup,https://www.youtube.com/watch?v=5aId1F_kr24,,262.0,380.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
2wlur2p61Mg,Options Trader's Analysis of GameStop (GME),https://www.youtube.com/watch?v=2wlur2p61Mg,,845.0,617.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
cRntDv1akM0,Option Early Assignment Explained: What Every Options Trader Needs to Know,https://www.youtube.com/watch?v=cRntDv1akM0,,429.0,884.0,"💡 Trade alongside Erik & join the Outlier Pro Community for weekly livestreams, private chat, market & trade analysis, direct Q&A, & more. https://www.patreon.com/OutlierTrading


▬ RESOURCES..."
9H5G9H62lMQ,Are Options Zero Sum?,https://www.youtube.com/watch?v=9H5G9H62lMQ,,299.0,287.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
YY0b7ShDies,GameStop Analysis & Ryan Cohen Hinting at Buying Bitcoin,https://www.youtube.com/watch?v=YY0b7ShDies,,999.0,885.0,"💡Trade alongside Erik and level up your strategy inside the Outlier Pro Community—get exclusive weekly livestreams, private chat access, market & trade analysis, direct Q&A, and more...."
