0.00s:  Yo, what's up? Oh, I forgot to turn this up. All right, there we go. We're back.
15.36s:  Hey, yo, what's up outliers? Great to see everyone. We are off and we are, we're getting
26.08s:  after it. So for those that don't know, I just wrapped up a stream not too long ago with my friend
33.84s:  PB talking about the tariffs and stuff like that. And then now we are going to take a closer look
42.96s:  at the markets, see what's coming up this week and all that kind of stuff. So let's see who we got
48.56s:  in the chat. Oh, I got to make sure that I text Mel and her know that the dog has been fed.
56.64s:  Just so that he doesn't get fed twice, become a little fat boy. No way.
63.28s:  Looks like we got Tommy Lauren Reese Shamgar H travel. Great to see all of the usual names and
70.24s:  faces. Lauren says 2030 is Eric's sick. What's going on? No, I did a live stream before this. So
79.60s:  I actually didn't even know if we were going to do one today, but I just slid it a little bit later
83.84s:  so that we had a chance to connect really. I just want to make sure that you all are good to be
87.36s:  completely honest. I, we can look through the markets and stuff like that, but I know for a lot of
92.16s:  people stuff is a little bit hectic right now. So it's mostly honestly doing this just to make
99.36s:  sure everybody's like comfortable portfolio is not a flame. We're not freaking out stuff like that
106.40s:  because that's unnecessary and that's a bad vibe. So let's get me on the main screen
115.84s:  and let us get started. So we'll start with a quick overview of the broad markets, not the
127.04s:  futures. I just want to do all the sectors and give everybody a rundown. So you can see comms did well,
134.40s:  materials did well, energy is still contracting, financials down tick but holding,
141.52s:  industrials rolling over, technology is, look at this technology is still looking so rough.
148.08s:  Now one of the things I want to highlight very, very specifically here is the relative strength
154.16s:  between communication services and then XLK, right? You see the difference here.
159.28s:  XLK is actually slightly negative sloping at this point, whereas communication services
165.76s:  is hovering near highs. So what this tells you is that not all tech is created equal at the moment
171.84s:  and there are some of them that are doing really, really well and there are some of them that are
176.40s:  not doing well. So a great example of that is if we pop over into this we go into comm services,
185.52s:  because we can see meta is been doing typically pretty well. Let's grab meta really quick. So meta
192.40s:  is hovering near highs. Just had banger earnings. We look at Google, Google is also crushing.
199.84s:  If you look at T-Mobile, not very good, good earnings but not very good. Take a look at Netflix,
207.04s:  covering near highs, really solid earnings, Disney, trending sideways here, not much to write
216.00s:  home about. Same thing as T-Mobile for ATT and then Verizon about the same. So if you boil this
225.36s:  down to like what's really leading the sector, you can kind of see it clear as day. It's essentially
231.20s:  these three companies, well two companies realistically. Google, Google L, which will be just about
238.16s:  the same and then meta. That's what's propping up comm services. And if you're looking for
245.52s:  strength and tech, this is not a bad place to look. Now if we go into IT specifically, IT is just
255.52s:  rough right now. So rough. Now one thing I do want to know is that Nvidia is literally crazy enough.
264.32s:  Nvidia is becoming a value zone. Nvidia now is trading at less than 0.3 peg ratio to earnings growth.
